product,product_status,objective,priority,launch_date,days_since,status,units_30,goal_30,units_75,goal_75,target_actual,target_pods,pods_75,voids,avg_wk_gp,on_hand,inventory_dollars
Beatbox Watermelon Lemonade (wine) 12/16.9 Tetra Box,Active,Launch Core,1 - Urgent,2026-05-12,97,Graduated,7,50,29,125,5,19,16,14,21,85,2135
CiderBoys Peach County 4/6 pack 12oz Bottles,Active,Deplete - LTO,3 - Medium,2026-05-19,90,Graduated,3,40,24,60,5,25,10,20,24,34,760
Bud Light Platinum Seltzer Wild Bry 15/25z Cn,Active,Launch Core,3 - Medium,2026-05-21,88,Graduated,4,70,48,135,40,42,43,2,43,1,29
Good Boy Vodka Golf Pack Variety 3/8 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-05-25,84,Graduated,168,150,1473,1100,81,168,127,87,1644,1337.333333,46807
Golden Road Belgian White 2/12 pack 12oz Bottles,Active,Launch Core,3 - Medium,2026-05-27,82,Graduated,3,65,6,130,0,0,4,0,4,51,1170
Good Boy Vodka Lemonade Splash Variety 3/8 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-05-27,82,Graduated,214,104,488,208,27,88,63,61,583,512,17280
Liquid Death Mountain Still Water 2/12 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-06-02,76,Graduated,35,30,95,65,14,122,15,108,37,105,1298
Liquid Death Mountain Still Water 4/6 pack 19.2 oz,Active,Launch Core,2 - High,2026-06-02,76,Graduated,32,30,66,65,12,120,12,108,41,72,1501
Liquid Death Tea Death Island Tea 4/6 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-06-02,76,Graduated,6,30,42,65,11,112,13,101,24,60,1051
Liquid Death Tea Raspberry Rage 4/6 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-06-02,76,Graduated,7,30,54,65,12,112,13,100,32,46,806
Liquid Death Water sCream Soda 4/6 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-06-02,76,Graduated,11,30,85,65,12,120,14,108,42,16,250
New Belgium Voodoo Ranger Sweet Ride Juicy IPA 1/6 Barrel Keg,Active,Launch Core,3 - Medium,2026-06-12,66,Behind,0,3,2,3,0,2,0,2,0,3,123
Phorm Energy Watermelon Wrath 12 Pack 16oz can,Active,Launch Core,3 - Medium,2026-06-18,60,No goal,29,0,73,0,20,51,20,31,56,69,1088
Black Rifle Cold Brew Just Black 12/11oz,Active,Launch Core,2 - High,2026-06-22,56,Stalling,3,20,11,35,5,33,9,28,7,199,4378
Black Rifle Cold Brew Vanilla 12/11oz,Active,Launch Core,2 - High,2026-06-22,56,Stalling,2,20,7,35,2,31,4,29,3,205,4510
BERO Double Tasty West Coast IPA 4/6 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-06-23,55,Stalling,4,14,6,21,2,35,3,33,7,16,417
BERO Edge Hill Hazy IPA N/A 4/6 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-06-23,55,Stalling,5,14,5,21,1,35,3,34,7,16,417
BERO Kingston Golden Pils N/A 4/6 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-06-23,55,Behind,9,14,10,21,3,35,7,32,13,11,286
Good Boy John Daly Paradise Variety 3/8 pack 12oz Cans,Active,Launch Core,1 - Urgent,2026-07-03,45,On pace,348,104,435,208,42,43,59,1,790,1129,39515
Good Boy Vodka John Daly Par-Tee Variety 2/12 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-07-03,45,On pace,173,104,191,208,10,66,22,56,326,336,11760
Sparkling Ice Starburst Variety pack 12/17oz,Active,Launch Core,3 - Medium,2026-07-07,41,No goal,47,0,156,0,3,31,10,28,39,193,1756
Glacial Till Watermelon Cider 4/6 pack 12oz Cans,Active,Deplete - LTO,3 - Medium,2026-07-10,38,Behind,37,300,159,400,0,0,15,0,352,69,1622
Blind Lemon Liberty Lemonade 2/12 pack 12oz Cans,Active,Launch Core,3 - Medium,2026-07-13,35,On pace,12,21,20,25,10,21,11,11,19,14,309
Shiner Haunted Brewhouse Variety 2/12 pack 12oz Bottles,Active,Deplete - LTO,3 - Medium,2026-07-21,27,On pace,218,120,218,240,0,0,21,0,285,159,3278
Shiner Oktoberfest 1/4 Barrel Keg,Active,Deplete - LTO,3 - Medium,2026-07-22,26,On pace,5,6,5,6,2,5,2,3,17,5,379
Liquid Death Energy Blood Zero Raspberry & Cream 12 pack 12oz,Active,Deplete - LTO,1 - Urgent,2026-08-04,13,No goal,0,0,0,0,0,45,0,45,0,208,0
Liquid Death Feastables Peanut Butter Cup 4/6 pack 12oz Cans,Active,Deplete - LTO,1 - Urgent,2026-08-04,13,No goal,13,0,13,0,0,6,2,6,90,94,0
BeatBox Xtreme Sour Cherry (wine) 12/16.9 Tetra Box,Active,Deplete - LTO,1 - Urgent,2026-08-05,12,Stalling,6,60,6,120,4,254,5,250,-872,118,1457
Modelo Noche Especial 4/6 pack 12oz Bottles,Pre-Order,Deplete - LTO,4 - Low,2026-08-16,1,Stalling,0,479,0,784,0,0,0,0,0,8,187
Shiner Holiday Cheer 4/6 pack 12oz Bottles,Pre-Order,Deplete - LTO,3 - Medium,2026-08-16,1,No goal,0,0,0,0,0,65,0,65,0,0.25,6
